                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.92423,                 1.5936,                0.75378,                 1.0631,                0.48324,                0.58592,                0.51875,                0.33095,                0.48474,                0.48015,                0.47038,                0.26162,                 1.0866,                 2.0953,                0.82454,                 1.2188,             0.00021235,             0.00021235,             0.00021235
                     89,                0.91049,                 1.5821,                0.73633,                 1.0487,                0.53514,                 0.5783,                0.52749,                0.32959,                0.48185,                0.47253,                0.46971,                0.25488,                 1.1014,                 2.1522,                0.82921,                 1.2202,              0.0001982,              0.0001982,              0.0001982
                     90,                0.92584,                 1.6625,                 0.7538,                 1.0677,                0.53712,                0.58151,                0.52705,                0.33067,                0.51069,                0.55094,                0.48618,                0.25848,                 1.0831,                 2.1691,                0.83433,                 1.2095,             0.00018406,             0.00018406,             0.00018406
                     91,                0.87888,                 1.5218,                0.72818,                 1.0412,                0.52302,                0.58662,                0.52181,                0.33606,                0.49684,                0.55415,                0.48145,                0.26102,                 1.0611,                 2.1778,                0.83741,                 1.1948,             0.00016991,             0.00016991,             0.00016991
                     92,                0.86535,                 1.5108,                 0.6832,                  1.054,                0.48456,                0.50642,                0.51557,                0.32852,                  0.463,                0.48347,                0.48186,                0.26649,                 1.0648,                 2.1713,                0.83014,                 1.1951,             0.00015576,             0.00015576,             0.00015576
                     93,                0.84551,                 1.4609,                0.67932,                 1.0415,                0.49272,                0.50751,                0.51368,                0.33324,                0.46876,                0.48266,                0.47145,                0.27041,                 1.0641,                 2.1784,                0.83496,                 1.1917,             0.00014161,             0.00014161,             0.00014161
                     94,                0.86492,                  1.449,                 0.6621,                  1.044,                0.51495,                0.50099,                0.51335,                 0.3361,                0.48318,                0.47634,                0.47403,                0.26592,                 1.0751,                 2.1811,                0.83004,                 1.1975,             0.00012747,             0.00012747,             0.00012747
                     95,                0.83289,                 1.4387,                0.64149,                 1.0268,                0.51893,                 0.5069,                 0.5132,                 0.3407,                0.49506,                0.47995,                0.47837,                 0.2681,                 1.0663,                 2.1819,                0.82634,                 1.2059,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.8202,                 1.3988,                0.64667,                 1.0291,                0.51456,                0.51071,                0.51945,                 0.3416,                0.48435,                0.48396,                0.48609,                0.25853,                 1.0667,                 2.2169,                0.81761,                 1.2186,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.82022,                 1.4045,                0.66137,                 1.0275,                 0.5068,                0.51466,                0.51603,                0.34045,                0.47915,                0.48599,                0.48139,                0.25812,                 1.0747,                 2.2306,                 0.8224,                 1.2283,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.85614,                 1.4356,                0.65453,                 1.0407,                0.51119,                0.52024,                0.51011,                0.33744,                0.48514,                0.49158,                0.47732,                0.25731,                 1.0777,                 2.2354,                0.82938,                 1.2271,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.80883,                 1.3689,                0.63435,                 1.0172,                0.51038,                0.51807,                0.50972,                0.33544,                0.48972,                0.49642,                0.47268,                0.25776,                 1.0704,                  2.197,                0.83282,                 1.2233,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.8267,                  1.385,                0.63005,                 1.0312,                0.50096,                  0.517,                0.50613,                0.33383,                0.48905,                 0.4762,                0.47198,                0.25731,                 1.0806,                 2.1924,                0.83761,                 1.2183,             4.2584e-05,             4.2584e-05,             4.2584e-05
